 FAST ION DISTRIBUTION FUNCTION AT GC 
 N=  999999 Emin= 0.000000E+00   rng_seed=        100001
 "AC" FILE 81450A11.DATA1  TIME =  6.2876E+00 +/-  1.2500E-02 sec.           
  tokamak: ???? NLSYM=F #= 1 A= 2.0 Z= 1.0 NEUTRAL BEAM                      
 host=login113                               date=06-Sep-2018 17:05:29
  R(cm)  Z(cm)  vpll/v  E(eV) -- 4(1x,1pe13.6)  (get_fbm)
  1.913174E+02  4.447285E+01  1.613361E-01  3.132809E+04
  1.918559E+02  2.492850E+01  4.104425E-01  2.834827E+04
  1.723832E+02 -2.144297E+01 -3.725375E-01  5.885749E+04
  2.234248E+02 -2.124204E+00  4.002979E-01  3.635187E+04
  1.903651E+02 -1.250633E+01 -9.331730E-01  1.157513E+04
  1.798277E+02 -8.787390E+00 -5.194259E-01  5.407434E+04
  1.760512E+02  7.404873E+00 -4.948400E-01  5.017085E+04
  1.992097E+02  1.959281E+01  6.834407E-01  7.274302E+03
  1.717778E+02 -6.796138E+00  4.012837E-01  2.578474E+04
  2.234034E+02 -9.156852E+00  2.833586E-01  7.058696E+03
  1.761467E+02 -1.726962E+01 -3.518072E-01  5.543630E+04
  1.915798E+02 -1.603511E+01  7.315525E-01  2.961208E+04
  1.938360E+02  4.724449E+00  2.908091E-01  3.276707E+04
  1.937944E+02 -4.047415E+01  3.604325E-01  3.483780E+04
  2.063993E+02  1.083438E+01 -3.686954E-02  1.186126E+04
  1.959098E+02  2.155164E+01 -4.948231E-02  2.141713E+04
  1.945721E+02 -2.827436E+01  9.238610E-01  7.203432E+03
  2.077362E+02  1.895140E+01 -7.872586E-01  1.268949E+04
  1.780601E+02  1.636342E+01 -4.956992E-01  2.921795E+04
  1.974835E+02 -1.935992E+01  9.898365E-02  2.028339E+04
  1.684737E+02  2.270664E+00  1.232577E-01  1.114204E+04
  1.614523E+02 -2.701151E+01  3.329869E-01  1.646468E+04
  1.841356E+02  3.363117E+01  3.655169E-02  3.291747E+04
  2.081961E+02 -1.936557E+00 -7.400223E-02  2.671851E+04
  2.079905E+02  5.308265E+00 -9.701525E-01  2.147078E+04
  1.987283E+02 -6.128694E+00  1.099186E-01  2.709086E+04
  2.040751E+02  1.482255E+00 -5.599319E-01  7.273748E+03
  1.915330E+02  3.074019E+01 -4.553938E-01  6.104113E+04
  1.873210E+02  6.295750E+00  2.792421E-01  1.121791E+04
  2.035063E+02  8.484685E+00  1.512178E-01  2.769470E+04
  2.153485E+02  2.867910E+00  4.471764E-01  2.923322E+04
  1.706686E+02 -2.504459E+01  1.992387E-01  5.350887E+04
  1.843279E+02 -3.198107E+01  4.610255E-01  3.506216E+04
  1.697651E+02  4.463224E+00 -2.539208E-01  1.115939E+04
  1.868964E+02  2.507935E+01  3.149402E-01  3.856228E+04
  1.910123E+02 -2.658554E+01  6.399667E-01  7.785845E+03
  1.877519E+02 -1.058943E+01 -9.162798E-01  2.217859E+04
  1.924033E+02  4.973233E+01  2.525063E-01  3.631804E+04
  1.919868E+02 -2.870904E+01  2.895570E-02  5.241427E+03
  1.749585E+02 -1.524297E+01 -4.140985E-01  5.402445E+04
  1.746355E+02  6.717831E+01  9.489076E-01  2.415236E+03
  1.565594E+02  6.896404E+00  7.890145E-01  7.044100E+03
  2.004445E+02  2.593420E+01  2.877568E-01  9.383038E+03
  1.964910E+02  2.068244E+01  8.926557E-01  1.031546E+04
  1.852193E+02  1.882782E+01 -6.733012E-02  6.049940E+04
  1.745730E+02 -3.785244E+01  6.093285E-01  3.407806E+04
  1.949087E+02 -4.364573E+01  7.881677E-01  3.220352E+03
  2.155695E+02 -1.182986E+00  3.963964E-01  5.150312E+04
  2.077823E+02  2.911921E+01  4.270704E-01  6.097484E+04
  1.904939E+02 -2.031766E+01  1.344403E-04  4.856107E+04
  1.735902E+02 -2.158033E+00 -1.802745E-01  5.901668E+04
  1.820630E+02  1.154903E+01 -2.473927E-01  4.588236E+04
  1.840379E+02  9.750760E+00 -5.291165E-01  3.133315E+04
  1.773951E+02  9.365578E-01 -6.802190E-01  3.678689E+04
  1.797447E+02  1.419466E+01 -4.434194E-02  5.548107E+04
  1.856918E+02  4.288998E+01  6.140845E-01  1.055824E+04
  2.087121E+02  2.478076E+01  6.926873E-01  5.260101E+04
  1.969733E+02  2.190402E+01  1.073530E-01  2.090186E+04
  1.771079E+02  4.920732E+00  9.759856E-01  1.819745E+04
  1.761780E+02 -9.982226E-01 -6.971508E-01  3.213131E+04
  1.950109E+02  4.228477E+00  4.759802E-01  2.513669E+04
  1.840564E+02  7.183975E+00 -6.771039E-01  1.485213E+04
  1.756457E+02  6.152270E+00 -1.709492E-01  7.668424E+03
  1.709156E+02  3.823200E-01 -4.294349E-01  4.222518E+04
  1.578230E+02  4.490086E+00 -1.103140E-01  5.475464E+04
  1.966101E+02  6.821150E+00 -5.243424E-01  2.922653E+04
  1.728243E+02  4.549052E+00 -3.464693E-01  3.560351E+04
  2.192320E+02 -8.960622E+00  1.461712E-01  3.277175E+04
  2.129393E+02 -1.245953E+01  3.625449E-01  6.197575E+04
  2.081365E+02 -2.368568E+01  3.298774E-01  5.836718E+04
  2.092159E+02  1.769827E+01  9.635900E-01  1.385287E+04
  1.892180E+02  1.342379E+01 -2.761901E-01  5.327169E+04
  1.852164E+02  2.290565E+01  4.580015E-02  6.146713E+04
  1.809219E+02  2.454381E+00 -8.313969E-01  3.407139E+04
  2.061993E+02  6.746745E+00 -8.296347E-01  4.158164E+03
  1.702557E+02  2.393773E+01  3.463074E-01  2.017116E+04
